sah,en
күрээтинньик,chicken coop [<Russ. курятник]
күс,autumn
күтүөт,son-in-law
күтэр,muskrat (Ondatra zibethicus)
күүс,strength
күүс-уох,strength
күһүн,autumn
кыа,tinder
кыаллар үлэ,managerial work
кыах,mastery
кыбаас,kvass [<Russ. квас]
кыбытык,insertion
кыл,horsehair
кылаас,class
кыламан,eyelash
кымньыы,whip
кымырдаҕас,ant
кымыс,kumiss (fermented mare’s milk)
кынат, кый̃ат
кыптый,scissors
кыраабыл,rake [<Russ. грабли]
кырааска,paint
кырбас,piece
кырса,polar fox
кырыа,frost
кырык,anger
кырынаас,ermine (Mustela erminea) [<Russ. горностай]
кырыы,furthest border
кырыымпа,violin [<Russ. скрипка]
кыс мас,wood cut in the fall to prepare for winter
кыс хаар,winter snow
кыстык,winter house
кыстыыр көтөр,winter birds
кыталык,stork
кытыйа,large wooden bowl
кытыл,shore
кыһа,hearth
кыһа,horn
кыһалга,need
кыһыл көмүс,gold
кыһыл оҕо,infant
кыһыл хаптаҕас,red currants (Ribes rubrum)
кыһын,winter
кыһыы,resentment
кыыбах,grain
кыыл,animal
кыыл таба,wild reindeer
кыым,spark
кыын,sheath
кыырт,hawk
кыыс,girl
кэбиһиилээх от,haystack
кэккэ,row
кэкэ-бука,Krüper’s nuthatch (Sitta krueperi)
кэлии барыы,coming and going
кэлин,back (side)
кэлтэһэ,stye (of the eye)
кэм,time
кэнсэлээрийэ,chancellery office [<Russ. канцелярия]
кэпсэтии,topic
кэпсээн, кэпсэл
кэрбээччи,rodent
кэргэн,family
кэс,cow with calf
кэскил,fate
кэтэбил,guard
кэтэҕэр,behind
кэтэх,nape
кээмэй,measure
лаампа,lamp
лааппы,shop
лааскай,weasel (Mustela sp.) [<Russ. ласка]
лаах,lacquer [<Russ. лак]
лабаа,branch (of a tree)
Лена,Lena river
лётчик,(airplane) pilot
лиэксийэ,lecture [<Russ. лексия]
лотерея,lottery [<Russ.]
луодур,loafer
луоска,spoon [<Russ. ложка]
луук,onion (Alium cepa) [<Russ. лук]
лыглыйа,barnacle goose (Branta leukopsis) [<Russ?]
лэппиэcкэ,pastry
магаһыын,shop
маҕаас,white-faced cow
маҕана,peg
майаҕас,lake salmon (Onchorhynchus sp.)
майгы,mood
малааһын,feast
малатыылка,thresher [<Russ. молотилка]
маллаах иһит,birchbark dishes with sewn work
манньа,favor pay
марай,soiling
мас,tree
мас кус,wood duck (Aix galericulata)
мас ууһа,carpenter
массыына,machine
матаҕа,large back
матараас,mattress [<Russ. матрац]
махтал,thanks
махтал баһыыба,gratitude
металл,metal [<Russ.]
мииcкэ,bowl
мин,soup
мичилик,comp. smiley
мичээр,smile
миэбэл,furniture [<Russ. мебель]
миэл,chalk [<Russ. мел]
миэлиҥсэ,mill [<Russ. мелница]
миэлиссэ,mill [<Russ. мелница]
моҕотой,chipmunk
моҕотойдьут,chipmunk hunter
моой,neck
мооньоҕон,black currant (Ribes nigrum)
мооньоҕон,northern pintail (duck – Anas acuta)
моркуоп,carrot (Daucus carota) [<Russ. морковь]
мороду,Baikal teal (Anas formosa)
морфология,morphology
мостуруской,workshop
мохсоҕол,hawk
мөккүөр,argument
мөлүүк,profit
музыка,music [<Russ.]
муксуун,muksun (Coregonus muksun)
мунду,loach (fish)
муннук,corner
мунньак,meeting
мунньах,meeting
муҥ,suffering
муҥур,weasel (Mustela sp.)
муҥурдаах,large intestine
муҥха,seine
муора,sea [<Russ. море]
муос,horn
муос ууһа,ivory carver
муоста,floor
муоһа,reins
мурун,nose
мутук,twig
мутукча,needle (of a tree)
муус,ice
муус устаар,April (lit. ‘ice floats’)
муус устар,April
мүнүүтэ,minute [<Russ. минута]
мындаа,top
мыыла,soap [<Russ. мыла]
мэйин,brain
мэкчиргэ,owl
мэнэх,dial. musk deer (Moschus moschiferus)
мэнээк,dial. wild reindeer
мэҥ,birthmark
мэһэй,annoyance
мээчик,ball
наскы,sox
норуот,people
нуомас,news
нуора,swamp
нуорма,norm
нуур,doze
